Year,Candidate,Party,Popular vote,Result,%
1824,Andrew Jackson,Democratic-Republican,151271,loss,57.21012204
1824,John Quincy Adams,Democratic-Republican,113142,win,42.78987796
1828,Andrew Jackson,Democratic,642806,win,56.20392707
1828,John Quincy Adams,National Republican,500897,loss,43.79607293
1832,Andrew Jackson,Democratic,702735,win,54.57478905
1832,Henry Clay,National Republican,484205,loss,37.6036283
1832,William Wirt,Anti-Masonic,100715,loss,7.821582644
1836,Hugh Lawson White,Whig,146109,loss,10.00598542
1836,Martin Van Buren,Democratic,763291,win,52.27247202
1836,William Henry Harrison,Whig,550816,loss,37.72154257
1840,Martin Van Buren,Democratic,1128854,loss,46.94878676
1840,William Henry Harrison,Whig,1275583,win,53.05121324
1844,Henry Clay,Whig,1300004,loss,49.250523
1844,James Polk,Democratic,1339570,win,50.749477
1848,Lewis Cass,Democratic,1223460,loss,42.55222948
1848,Martin Van Buren,Free Soil,291501,loss,10.13847404
1848,Zachary Taylor,Whig,1360235,win,47.30929648
1852,Franklin Pierce,Democratic,1605943,win,51.01316828
1852,John P. Hale,Free Soil,155210,loss,4.930283235
1852,Winfield Scott,Whig,1386942,loss,44.05654848
1856,James Buchanan,Democratic,1835140,win,45.30608033
1856,John C. Frémont,Republican,1342345,loss,33.1399187
1856,Millard Fillmore,American,873053,loss,21.55400097
1860,Abraham Lincoln,Republican,1855993,win,39.69940846
1860,John Bell,Constitutional Union,590901,loss,12.63928267
1860,John C. Breckinridge,Southern Democratic,848019,loss,18.13899765
1860,Stephen A. Douglas,Northern Democratic,1380202,loss,29.52231122
1864,Abraham Lincoln,National Union,2211317,win,54.95151243
1864,George B. McClellan,Democratic,1812807,loss,45.04848757
1868,Horatio Seymour,Democratic,2708744,loss,47.33469473
1868,Ulysses Grant,Republican,3013790,win,52.66530527
1872,Horace Greeley,Liberal Republican,2834761,loss,44.07140636
1872,Ulysses Grant,Republican,3597439,win,55.92859364
1876,Rutherford Hayes,Republican,4034142,win,48.47162359
1876,Samuel J. Tilden,Democratic,4288546,loss,51.52837641
1880,James B. Weaver,Greenback,308649,loss,3.352343585
1880,James Garfield,Republican,4453337,win,48.36923406
1880,Winfield Scott Hancock,Democratic,4444976,loss,48.27842235
1884,Benjamin Butler,Anti-Monopoly,134294,loss,1.335838283
1884,Grover Cleveland,Democratic,4914482,win,48.88493303
1884,James G. Blaine,Republican,4856905,loss,48.31220781
1884,John St. John,Prohibition,147482,loss,1.467020877
1888,Alson Streeter,Union Labor,146602,loss,1.288860686
1888,Benjamin Harrison,Republican,5443633,win,47.85804123
1888,Clinton B. Fisk,Prohibition,249819,loss,2.19629942
1888,Grover Cleveland,Democratic,5534488,loss,48.65679866
1892,Benjamin Harrison,Republican,5176108,loss,42.98410062
1892,Grover Cleveland,Democratic,5553898,win,46.12139284
1892,James B. Weaver,Populist,1041028,loss,8.645038376
1892,John Bidwell,Prohibition,270879,loss,2.24946817
1896,John M. Palmer,National Democratic,134645,loss,0.969565599
1896,Joshua Levering,Prohibition,131312,loss,0.945564989
1896,William Jennings Bryan,Democratic,6509052,loss,46.87105278
1896,William McKinley,Republican,7112138,win,51.21381663
1900,John G. Woolley,Prohibition,210864,loss,1.526820586
1900,William Jennings Bryan,Democratic,6370932,loss,46.13053974
1900,William McKinley,Republican,7228864,win,52.34263967
1904,Alton B. Parker,Democratic,5083880,loss,37.68511564
1904,Eugene V. Debs,Socialist,402810,loss,2.98589688
1904,Silas C. Swallow,Prohibition,259102,loss,1.920637157
1904,Theodore Roosevelt,Republican,7630557,win,56.56278726
1904,Thomas E. Watson,Populist,114070,loss,0.845563062
1908,Eugene V. Debs,Socialist,420852,loss,2.85086565
1908,Eugene W. Chafin,Prohibition,254087,loss,1.721193913
1908,William Jennings Bryan,Democratic,6408979,loss,43.41464003
1908,William Taft,Republican,7678335,win,52.01330041
1912,Eugene V. Debs,Socialist,901551,loss,6.004354059
1912,Eugene W. Chafin,Prohibition,208156,loss,1.386324593
1912,Theodore Roosevelt,Progressive,4122721,loss,27.45743344
1912,William Taft,Republican,3486242,loss,23.21846607
1912,Woodrow Wilson,Democratic,6296284,win,41.93342184
1916,Allan L. Benson,Socialist,590524,loss,3.194193328
1916,Charles Evans Hughes,Republican,8548728,loss,46.24077927
1916,Frank Hanly,Prohibition,221302,loss,1.197040885
1916,Woodrow Wilson,Democratic,9126868,win,49.36798652
1920,Aaron S. Watkins,Prohibition,188787,loss,0.708350618
1920,Eugene V. Debs,Socialist,913693,loss,3.428281615
1920,James M. Cox,Democratic,9139661,loss,34.29306318
1920,Parley P. Christensen,Farmer–Labor,265398,loss,0.995803934
1920,Warren Harding,Republican,16144093,win,60.57450065
1924,Calvin Coolidge,Republican,15723789,win,54.329113
1924,John W. Davis,Democratic,8386242,loss,28.97629123
1924,Robert La Follette,Progressive,4831706,loss,16.69459577
1928,Al Smith,Democratic,15015464,loss,40.90285321
1928,Herbert Hoover,Republican,21427123,win,58.36852373
1928,Norman Thomas,Socialist,267478,loss,0.728623063
1932,Franklin Roosevelt,Democratic,22821277,win,57.67212542
1932,Herbert Hoover,Republican,15761254,loss,39.83059395
1932,Norman Thomas,Socialist,884885,loss,2.236211353
1932,William Z. Foster,Communist,103307,loss,0.261069276
1936,Alf Landon,Republican,16679543,loss,36.64828497
1936,Franklin Roosevelt,Democratic,27752648,win,60.97810669
1936,Norman Thomas,Socialist,187910,loss,0.412875774
1936,William Lemke,Union,892378,loss,1.960732572
1940,Franklin Roosevelt,Democratic,27313945,win,54.87120208
1940,Norman Thomas,Socialist,116599,loss,0.234236662
1940,Wendell Willkie,Republican,22347744,loss,44.89456126
1944,Franklin Roosevelt,Democratic,25612916,win,53.77380141
1944,Thomas E. Dewey,Republican,22017929,loss,46.22619859
1948,Claude A. Watson,Prohibition,103708,loss,0.212746692
1948,Harry Truman,Democratic,24179347,win,49.60153588
1948,Henry A. Wallace,Progressive,1157328,loss,2.374143781
1948,Norman Thomas,Socialist,139569,loss,0.286311982
1948,Strom Thurmond,Dixiecrat,1175930,loss,2.412303942
1948,Thomas E. Dewey,Republican,21991292,loss,45.11295773
1952,Adlai Stevenson,Democratic,27375090,loss,44.44631159
1952,Dwight Eisenhower,Republican,34075529,win,55.32517261
1952,Vincent Hallinan,Progressive,140746,loss,0.228515799
1956,Adlai Stevenson,Democratic,26028028,loss,42.17446362
1956,Dwight Eisenhower,Republican,35579180,win,57.65065384
1956,T. Coleman Andrews,States' Rights,107929,loss,0.174882541
1960,John Kennedy,Democratic,34220984,win,50.08256141
1960,Richard Nixon,Republican,34108157,loss,49.91743859
1964,Barry Goldwater,Republican,27175754,loss,38.65529671
1964,Lyndon Johnson,Democratic,43127041,win,61.34470329
1968,George Wallace,American Independent,9901118,loss,13.57121768
1968,Hubert Humphrey,Democratic,31271839,loss,42.86353667
1968,Richard Nixon,Republican,31783783,win,43.56524565
1972,George McGovern,Democratic,29173222,loss,37.67067048
1972,John G. Schmitz,American Independent,1100868,loss,1.421524015
1972,Richard Nixon,Republican,47168710,win,60.9078055
1976,Eugene McCarthy,Independent,740460,loss,0.911648689
1976,Gerald Ford,Republican,39148634,loss,48.19949876
1976,Jimmy Carter,Democratic,40831881,win,50.2718996
1976,Lester Maddox,American Independent,170274,loss,0.209640047
1976,Roger MacBride,Libertarian,172557,loss,0.212450859
1976,Thomas J. Anderson,American,158271,loss,0.194862045
1980,Barry Commoner,Citizens,233052,loss,0.270182115
1980,Ed Clark,Libertarian,921128,loss,1.067883181
1980,Jimmy Carter,Democratic,35480115,loss,41.13284806
1980,John B. Anderson,Independent,5719850,loss,6.631143134
1980,Ronald Reagan,Republican,43903230,win,50.89794351
1984,David Bergland,Libertarian,228111,loss,0.247245489
1984,Ronald Reagan,Republican,54455472,win,59.02332553
1984,Walter Mondale,Democratic,37577352,loss,40.72942898
1988,George H. W. Bush,Republican,48886597,win,53.5188446
1988,Lenora Fulani,New Alliance,217221,loss,0.237803767
1988,Michael Dukakis,Democratic,41809074,loss,45.77069118
1988,Ron Paul,Libertarian,431750,loss,0.472660454
1992,Andre Marrou,Libertarian,290087,loss,0.278516275
1992,Bill Clinton,Democratic,44909806,win,43.11848477
1992,Bo Gritz,Populist,106152,loss,0.101917906
1992,George H. W. Bush,Republican,39104550,loss,37.54478351
1992,Ross Perot,Independent,19743821,loss,18.95629754
1996,Bill Clinton,Democratic,47400125,win,49.29693808
1996,Bob Dole,Republican,39197469,loss,40.766036
1996,Harry Browne,Libertarian,485759,loss,0.505197641
1996,Howard Phillips,Taxpayers,184656,loss,0.192045388
1996,John Hagelin,Natural Law,113670,loss,0.118218738
1996,Ralph Nader,Green,685297,loss,0.712720563
1996,Ross Perot,Reform,8085294,loss,8.408843598
2000,Al Gore,Democratic,50999897,loss,48.49181314
2000,George W. Bush,Republican,50456002,win,47.97466592
2000,Harry Browne,Libertarian,384431,loss,0.36552537
2000,Pat Buchanan,Reform,448895,loss,0.426819146
2000,Ralph Nader,Green,2882955,loss,2.741176421
2004,David Cobb,Green,119859,loss,0.098088334
2004,George W. Bush,Republican,62040610,win,50.77182439
2004,John Kerry,Democratic,59028444,loss,48.30677508
2004,Michael Badnarik,Libertarian,397265,loss,0.325107519
2004,Michael Peroutka,Constitution,143630,loss,0.117541674
2004,Ralph Nader,Independent,465151,loss,0.380663003
2008,Barack Obama,Democratic,69498516,win,53.02350971
2008,Bob Barr,Libertarian,523715,loss,0.399565473
2008,Chuck Baldwin,Constitution,199750,loss,0.152398162
2008,Cynthia McKinney,Green,161797,loss,0.123442129
2008,John McCain,Republican,59948323,loss,45.7372426
2008,Ralph Nader,Independent,739034,loss,0.563841917
2012,Barack Obama,Democratic,65915795,win,51.25848423
2012,Gary Johnson,Libertarian,1275971,loss,0.992240773
2012,Jill Stein,Green,469627,loss,0.365198784
2012,Mitt Romney,Republican,60933504,loss,47.38407621
2016,Darrell Castle,Constitution,203091,loss,0.149639515
2016,Donald Trump,Republican,62984828,win,46.40786214
2016,Evan McMullin,Independent,732273,loss,0.539546197
2016,Gary Johnson,Libertarian,4489235,loss,3.307714026
2016,Hillary Clinton,Democratic,65853514,loss,48.52153918
2016,Jill Stein,Green,1457226,loss,1.073698944