,Primary completion rate: Male: % of relevant age group: 2015,Primary completion rate: Female: % of relevant age group: 2015,Lower secondary completion rate: Male: % of relevant age group: 2015,Lower secondary completion rate: Female: % of relevant age group: 2015,Youth literacy rate: Male: % of ages 15-24: 2005-14,Youth literacy rate: Female: % of ages 15-24: 2005-14,Adult literacy rate: Male: % ages 15 and older: 2005-14,Adult literacy rate: Female: % ages 15 and older: 2005-14,Students at lowest proficiency on PISA: Mathematics: % of 15 year-olds: 2015,Students at lowest proficiency on PISA: Reading: % of 15 year-olds: 2015,Students at lowest proficiency on PISA: Science: % of 15 year-olds: 2015,Population: millions: 2016,Surface area: sq. km thousands: 2016,Population density: people per sq. km: 2016,"Gross national income, Atlas method: $ billions: 2016","Gross national income per capita, Atlas method: $: 2016",Purchasing power parity gross national income: $ billions: 2016,per capita: $: 2016,Gross domestic product: % growth : 2016,per capita: % growth: 2016,Prevalence of smoking: Male: % of adults: 2015,Prevalence of smoking: Female: % of adults: 2015,"Incidence of tuberculosis: per 100,000 people: 2015",Prevalence of diabetes: % of population ages 20 to 79: 2015,Incidence of HIV: Total: % of uninfected population ages 15-49: 2015,Prevalence of HIV: Total: % of population ages 15-49: 2015,Prevalence of HIV: Women's share of population ages 15+ living with HIV: %: 2015,"Prevalence of HIV: Youth, Male: % of population ages 15-24: 2015","Prevalence of HIV: Youth, Female: % of population ages 15-24: 2015",Antiretroviral therapy coverage: % of people living with HIV: 2015,"Cause of death: Communicable diseases and maternal, prenatal, and nutrition conditions: % of population: 2015",Cause of death: Non-communicable diseases: % of population: 2015,Cause of death: Injuries: % of population: 2015,Access to an improved water source: % of population: 1990,Access to an improved water source: % of population: 2015,Access to improved sanitation facilities: % of population: 1990,Access to improved sanitation facilities: % of population: 2015,Child immunization rate: Measles: % of children ages 12-23 months: 2015,Child immunization rate: DTP3: % of children ages 12-23 months: 2015,Children with acute respiratory infection taken to health provider: % of children under age 5 with ARI: 2009-2016,Children with diarrhea who received oral rehydration and continuous feeding: % of children under age 5 with diarrhea: 2009-2016,Children sleeping under treated bed nets: % of children under age 5: 2009-2016,Children with fever receiving antimalarial drugs: % of children under age 5 with fever: 2009-2016,Tuberculosis: Treatment success rate: % of new cases: 2014,Tuberculosis: Cases detection rate: % of new estimated cases: 2015
Eritrea,42.0,36.0,32.0,30.0,94.0,91.0,82.0,64.0,,,,,117.6,,,,,,,,,,65.0,3.6,0.02,0.6,64.0,0.2,0.2,60.0,46.0,42.0,12.0,47.0,58.0,9.0,16.0,85.0,95.0,45.0,57.0,20.4,1.5,91.0,61.0
Estonia,101.0,102.0,116.0,111.0,100.0,100.0,100.0,100.0,2.0,0.0,0.0,1.3,45.2,31.0,23.4,17750.0,38.1,28920.0,1.6,1.5,41.0,25.0,18.0,4.4,,,,,,,3.0,93.0,5.0,99.0,100.0,97.0,97.0,93.0,93.0,,,,,84.0,87.0
Ethiopia,55.0,53.0,30.0,29.0,63.0,47.0,49.0,29.0,,,,102.4,1104.3,102.0,67.5,660.0,177.0,1730.0,7.6,4.9,9.0,1.0,192.0,3.4,,,,,,,49.0,39.0,12.0,13.0,57.0,3.0,28.0,78.0,86.0,27.0,25.0,30.1,26.3,89.0,71.0
Faroe Islands,,,,,,,,,,,,0.0,1.4,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,106.0,107.0,94.0,99.0,,,,,,,,0.9,18.3,49.0,4.3,4840.0,8.2,9140.0,2.0,1.2,39.0,12.0,51.0,13.8,,,,,,,11.0,84.0,5.0,86.0,96.0,57.0,91.0,94.0,99.0,,,,,87.0,80.0
Finland,100.0,100.0,100.0,100.0,,,,,4.0,1.0,0.0,5.5,338.4,18.0,245.8,44730.0,238.5,43400.0,1.4,1.1,23.0,19.0,6.0,6.0,,,,,,,1.0,93.0,6.0,100.0,100.0,97.0,98.0,97.0,98.0,,,,,45.0,87.0
France,,,103.0,104.0,,,,,9.0,2.0,1.0,66.9,549.1,122.0,2605.8,38950.0,2835.2,42380.0,1.2,0.8,30.0,26.0,8.0,5.3,,,,,,,6.0,87.0,6.0,100.0,100.0,99.0,99.0,91.0,98.0,,,,,,85.0
French Polynesia,,,,,,,,,,,,0.3,4.0,77.0,,,,,,,,,19.0,19.4,,,,,,,,,,100.0,100.0,98.0,99.0,,,,,,,76.0,87.0
Gabon,,,,,87.0,89.0,85.0,80.0,,,,2.0,267.7,8.0,14.3,7210.0,33.1,16720.0,2.3,-0.3,,,465.0,7.8,0.14,3.8,67.0,0.5,1.1,58.0,46.0,45.0,9.0,,93.0,,42.0,68.0,80.0,54.0,52.0,38.8,25.9,58.0,71.0
"Gambia, The",67.0,72.0,63.0,64.0,75.0,69.0,63.0,46.0,,,,2.0,11.3,201.0,0.9,440.0,3.3,1640.0,1.6,-1.4,,,174.0,2.0,0.12,1.8,61.0,0.3,0.6,24.0,55.0,33.0,11.0,76.0,90.0,60.0,59.0,97.0,97.0,68.0,51.0,47.0,6.7,88.0,73.0
Georgia,120.0,122.0,109.0,107.0,100.0,100.0,100.0,100.0,31.0,9.0,4.0,3.7,69.7,65.0,14.2,3810.0,35.1,9450.0,2.7,2.7,58.0,6.0,99.0,6.4,0.05,0.4,22.0,0.1,0.1,32.0,3.0,93.0,4.0,85.0,100.0,98.0,86.0,96.0,94.0,,,,,83.0,80.0
Germany,103.0,102.0,58.0,57.0,,,,,5.0,1.0,0.0,82.7,357.4,237.0,3609.4,43660.0,4094.8,49530.0,1.9,0.7,32.0,28.0,8.0,7.4,,,,,,,5.0,92.0,4.0,100.0,100.0,99.0,99.0,97.0,96.0,,,,,63.0,87.0
Ghana,101.0,101.0,80.0,75.0,88.0,83.0,78.0,65.0,,,,28.2,238.5,124.0,38.9,1380.0,117.2,4150.0,3.6,1.3,13.0,0.0,160.0,2.3,0.08,1.6,60.0,0.3,0.6,34.0,46.0,44.0,10.0,56.0,89.0,7.0,15.0,89.0,88.0,53.0,42.0,46.6,48.5,85.0,33.0
Greece,96.0,96.0,96.0,95.0,100.0,99.0,98.0,97.0,15.0,2.0,1.0,10.7,132.0,83.0,203.7,18960.0,289.1,26900.0,0.0,0.7,53.0,33.0,5.0,5.2,0.02,0.3,18.0,0.2,0.1,,3.0,94.0,3.0,98.0,100.0,93.0,99.0,97.0,99.0,,,,,,90.0
Greenland,,,,,,,,,,,,0.1,410.5,0.0,,,,,1.7,2.0,,,164.0,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,68.0,87.0
Grenada,89.0,90.0,87.0,88.0,,,,,,,,0.1,0.3,316.0,0.9,8830.0,1.4,13440.0,1.9,1.4,,,5.0,11.4,,,,,,,13.0,81.0,6.0,97.0,97.0,98.0,98.0,99.0,92.0,,,,,100.0,87.0
Guam,,,,,,,,,,,,0.2,0.5,302.0,,,,,0.4,-0.1,,,51.0,18.7,,,,,,,,,,100.0,100.0,89.0,90.0,,,,,,,89.0,87.0
Guatemala,86.0,84.0,64.0,61.0,95.0,93.0,87.0,76.0,,,,16.6,108.9,155.0,62.8,3790.0,128.5,7750.0,3.1,1.0,,,25.0,11.1,0.04,0.6,39.0,0.2,0.2,30.0,25.0,57.0,18.0,77.0,93.0,47.0,64.0,99.0,74.0,52.0,56.0,,0.4,85.0,80.0
Guinea,68.0,56.0,42.0,28.0,38.0,22.0,37.0,12.0,,,,12.4,245.9,50.0,6.1,490.0,14.9,1200.0,5.2,2.6,,,177.0,2.2,0.12,1.6,62.0,0.3,0.7,29.0,59.0,31.0,10.0,52.0,77.0,8.0,20.0,52.0,51.0,37.0,40.0,26.0,28.1,83.0,55.0
Guinea-Bissau,,,,,80.0,72.0,71.0,47.0,,,,1.8,36.1,65.0,1.1,620.0,2.9,1580.0,5.6,2.9,,,373.0,2.2,,,,,,,61.0,30.0,9.0,36.0,79.0,,21.0,69.0,80.0,34.0,55.0,80.6,28.0,81.0,31.0
Guyana,87.0,81.0,,,92.0,94.0,82.0,87.0,,,,0.8,215.0,4.0,3.3,4250.0,6.1,7860.0,3.3,2.6,,,93.0,11.2,0.09,1.5,51.0,0.6,0.8,59.0,20.0,67.0,13.0,79.0,98.0,76.0,84.0,99.0,95.0,84.0,29.0,7.4,7.4,69.0,80.0
Haiti,,,,,74.0,70.0,53.0,45.0,,,,10.8,27.8,394.0,8.5,780.0,19.5,1790.0,1.4,0.2,22.0,3.0,194.0,6.9,0.02,1.7,60.0,0.3,0.4,52.0,31.0,56.0,13.0,62.0,58.0,18.0,28.0,53.0,60.0,38.0,57.0,12.0,2.5,78.0,79.0
Honduras,92.0,93.0,47.0,58.0,95.0,96.0,87.0,87.0,,,,9.1,112.5,81.0,19.6,2150.0,40.2,4410.0,3.6,1.9,33.0,2.0,43.0,9.2,0.01,0.4,44.0,0.2,0.2,52.0,15.0,60.0,26.0,73.0,91.0,48.0,83.0,87.0,85.0,64.0,61.0,,0.2,89.0,83.0
"Hong Kong SAR, China",,,100.0,100.0,,,,,3.0,0.0,0.0,7.3,1.1,6997.0,317.7,43240.0,444.7,60530.0,2.0,1.5,,,71.0,8.0,,,,,,,,,,,,,,,,,,,,67.0,87.0
Hungary,97.0,97.0,95.0,96.0,99.0,99.0,99.0,99.0,11.0,1.0,1.0,9.8,93.0,108.0,123.4,12570.0,251.7,25640.0,2.0,2.2,32.0,25.0,9.0,7.3,,,,,,,2.0,94.0,5.0,96.0,100.0,98.0,98.0,99.0,99.0,,,,,73.0,94.0
Iceland,94.0,101.0,98.0,96.0,,,,,8.0,2.0,1.0,0.3,103.0,3.0,19.0,56990.0,17.5,52490.0,7.2,6.1,17.0,15.0,2.0,6.1,,,,,,,5.0,90.0,6.0,100.0,100.0,99.0,99.0,93.0,92.0,,,,,89.0,87.0
India,95.0,100.0,83.0,88.0,90.0,82.0,79.0,59.0,,,,1324.2,3287.3,445.0,2220.0,1680.0,8594.2,6490.0,7.1,5.9,20.0,2.0,217.0,9.3,0.01,,40.0,,,43.0,28.0,61.0,11.0,71.0,94.0,17.0,40.0,87.0,87.0,77.0,,,,74.0,59.0
Indonesia,105.0,99.0,87.0,96.0,100.0,100.0,97.0,93.0,38.0,4.0,1.0,261.1,1910.9,144.0,889.0,3400.0,2929.4,11220.0,5.0,3.8,76.0,4.0,395.0,6.5,0.05,0.5,37.0,0.4,0.4,9.0,21.0,73.0,6.0,70.0,87.0,35.0,61.0,69.0,81.0,75.0,61.0,,0.8,84.0,32.0
"Iran, Islamic Rep.",102.0,102.0,95.0,95.0,98.0,97.0,90.0,80.0,,,,80.3,1745.2,49.0,511.8,6530.0,1361.8,17370.0,-1.5,-2.7,22.0,1.0,16.0,10.1,0.01,0.1,35.0,0.1,0.1,9.0,9.0,81.0,11.0,92.0,96.0,71.0,90.0,99.0,98.0,76.0,69.0,,,87.0,80.0
Iraq,,,,,83.0,81.0,86.0,73.0,,,,37.2,435.1,86.0,202.0,5430.0,641.5,17240.0,11.0,7.8,,,43.0,9.3,,,,,,,17.0,54.0,29.0,78.0,87.0,72.0,86.0,57.0,58.0,74.0,26.0,,,92.0,52.0
Ireland,,,107.0,109.0,,,,,4.0,0.0,0.0,4.8,70.3,69.0,250.9,52560.0,271.4,56870.0,5.2,3.1,22.0,22.0,7.0,4.4,,,,,,,5.0,90.0,5.0,96.0,98.0,89.0,91.0,93.0,95.0,,,,,56.0,87.0
Isle of Man,,,,,,,,,,,,0.1,0.6,147.0,7.4,89970.0,,,5.0,4.3,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,107.0,110.0,105.0,106.0,,,,,15.0,3.0,2.0,8.5,22.1,395.0,309.3,36190.0,319.7,37400.0,4.0,2.0,41.0,19.0,4.0,7.5,,,,,,,10.0,86.0,4.0,100.0,100.0,100.0,100.0,98.0,94.0,,,,,89.0,87.0
Italy,100.0,100.0,101.0,100.0,100.0,100.0,99.0,99.0,8.0,1.0,1.0,60.6,301.3,206.0,1914.1,31590.0,2316.5,38230.0,0.9,1.1,28.0,20.0,6.0,5.1,0.02,0.4,29.0,0.1,0.1,,5.0,92.0,4.0,100.0,100.0,100.0,100.0,85.0,93.0,,,,,,100.0
Jamaica,,,87.0,92.0,94.0,99.0,83.0,93.0,,,,2.9,11.0,266.0,13.4,4660.0,24.5,8500.0,1.4,1.0,30.0,6.0,5.0,11.5,0.11,1.6,38.0,0.8,0.6,34.0,12.0,79.0,10.0,93.0,94.0,80.0,82.0,91.0,91.0,82.0,43.0,,,18.0,80.0
Japan,102.0,102.0,,,,,,,3.0,1.0,0.0,127.0,378.0,348.0,4825.2,38000.0,5443.8,42870.0,1.0,1.1,34.0,11.0,17.0,5.7,,,,,,,13.0,82.0,5.0,100.0,100.0,100.0,100.0,96.0,96.0,,,,,53.0,87.0
Jordan,91.0,91.0,80.0,83.0,99.0,99.0,98.0,97.0,39.0,7.0,4.0,9.5,89.3,107.0,37.1,3920.0,84.9,8980.0,2.0,-1.2,70.0,11.0,7.0,11.7,,,,,,,12.0,78.0,11.0,96.0,97.0,97.0,99.0,94.0,99.0,77.0,34.0,,,88.0,80.0
Kazakhstan,113.0,113.0,107.0,109.0,100.0,100.0,100.0,100.0,10.0,2.0,0.0,17.8,2724.9,7.0,154.9,8710.0,407.6,22910.0,1.0,-0.4,44.0,9.0,89.0,6.4,0.04,0.2,31.0,0.1,0.1,27.0,7.0,82.0,11.0,94.0,93.0,96.0,98.0,99.0,98.0,81.0,54.0,,,90.0,89.0
Kenya,105.0,106.0,85.0,84.0,83.0,82.0,78.0,67.0,,,,48.5,580.4,85.0,66.9,1380.0,151.5,3130.0,5.8,3.2,25.0,2.0,233.0,2.4,0.35,5.9,58.0,2.3,4.0,59.0,55.0,33.0,11.0,43.0,63.0,25.0,30.0,75.0,89.0,66.0,45.0,56.1,27.1,87.0,76.0
Kiribati,106.0,120.0,92.0,110.0,,,,,,,,0.1,0.8,141.0,0.3,2380.0,0.4,3240.0,3.1,1.3,64.0,41.0,551.0,18.6,,,,,,,29.0,65.0,7.0,50.0,67.0,28.0,40.0,84.0,87.0,81.0,47.0,,,87.0,80.0
"Korea, Dem. People's Rep.",,,,,,,,,,,,25.4,120.5,211.0,,,,,,,,,,,,,,,,,,,,100.0,100.0,53.0,82.0,98.0,96.0,80.0,67.0,,,91.0,80.0
"Korea, Dem. Peopleâs Rep.",,,,,100.0,100.0,100.0,100.0,,,,,,,,,,,,,,,561.0,4.4,,,,,,,12.0,81.0,7.0,,,,,,,,,,,,
"Korea, Rep.",102.0,101.0,109.0,107.0,,,98.0,98.0,5.0,1.0,0.0,51.2,100.3,526.0,1414.4,27600.0,1833.9,35790.0,2.8,2.4,50.0,4.0,80.0,7.2,,,,,,,10.0,79.0,11.0,90.0,,100.0,100.0,98.0,98.0,,,,,81.0,94.0
Kosovo,,,,,,,,,49.0,15.0,4.0,1.8,10.9,167.0,7.0,3850.0,18.5,10200.0,3.4,2.6,,,,,,,,,,,,,,,,,,,,,,,,,
Kuwait,100.0,107.0,83.0,96.0,99.0,99.0,96.0,94.0,,,,4.1,17.8,227.0,164.0,41680.0,328.3,83420.0,1.8,-2.1,,,22.0,20.0,,,,,,,9.0,77.0,14.0,99.0,99.0,100.0,100.0,93.0,99.0,,,,,97.0,87.0
Kyrgyz Republic,113.0,111.0,90.0,91.0,100.0,100.0,100.0,99.0,,,,6.1,199.9,32.0,6.7,1100.0,20.7,3410.0,3.8,1.7,50.0,4.0,144.0,6.3,0.03,0.2,33.0,0.1,0.1,26.0,10.0,81.0,8.0,75.0,90.0,91.0,93.0,99.0,97.0,60.0,67.0,,,84.0,82.0
Lao PDR,101.0,99.0,63.0,58.0,89.0,79.0,82.0,63.0,,,,6.8,236.8,29.0,14.5,2150.0,40.0,5920.0,7.0,5.5,57.0,9.0,182.0,3.6,,,,,,,35.0,55.0,10.0,,76.0,,71.0,88.0,89.0,54.0,57.0,43.2,1.9,86.0,37.0
Latvia,102.0,104.0,110.0,113.0,100.0,100.0,100.0,100.0,6.0,0.0,0.0,2.0,64.5,32.0,28.7,14630.0,51.2,26090.0,2.0,2.8,49.0,24.0,41.0,5.4,0.05,0.7,31.0,0.4,0.3,20.0,3.0,92.0,5.0,98.0,99.0,,88.0,96.0,95.0,,,,,83.0,87.0
Lebanon,73.0,71.0,52.0,55.0,98.0,99.0,93.0,86.0,37.0,24.0,7.0,6.0,10.5,587.0,46.1,7680.0,83.2,13860.0,1.8,-0.9,45.0,31.0,13.0,13.0,0.01,0.1,13.0,0.1,0.1,37.0,4.0,89.0,8.0,,99.0,,81.0,79.0,81.0,,62.0,,,76.0,87.0
Lesotho,68.0,86.0,36.0,50.0,74.0,92.0,66.0,85.0,,,,2.2,30.4,73.0,2.7,1210.0,7.5,3390.0,2.5,1.1,55.0,0.0,788.0,3.9,1.88,22.7,59.0,5.1,9.1,42.0,64.0,29.0,7.0,77.0,82.0,,30.0,90.0,93.0,63.0,61.0,,,70.0,45.0
Liberia,63.0,54.0,42.0,32.0,63.0,37.0,61.0,27.0,,,,4.6,111.4,48.0,1.7,370.0,3.2,700.0,-1.6,-4.0,28.0,2.0,308.0,2.3,0.06,1.1,60.0,0.3,0.6,24.0,59.0,31.0,10.0,,76.0,,17.0,64.0,52.0,51.0,46.0,38.1,55.7,74.0,42.0
Libya,,,,,100.0,100.0,97.0,85.0,,,,6.3,1759.5,4.0,,,,,,,,,40.0,10.4,,,,,,,9.0,76.0,15.0,71.0,,97.0,97.0,93.0,94.0,,,,,57.0,39.0
Liechtenstein,99.0,113.0,103.0,84.0,,,,,3.0,0.0,,0.0,0.2,235.0,,,,,,,,,,6.4,,,,,,,,,,,,,,,,,,,,,
Lithuania,101.0,103.0,108.0,102.0,100.0,100.0,100.0,100.0,8.0,1.0,0.0,2.9,65.3,46.0,42.4,14770.0,82.8,28840.0,2.3,3.5,38.0,22.0,56.0,4.0,,,,,,,3.0,90.0,6.0,87.0,97.0,83.0,92.0,94.0,93.0,,,,,81.0,87.0
Luxembourg,78.0,81.0,96.0,98.0,,,,,9.0,2.0,1.0,0.6,2.6,225.0,44.7,76660.0,44.2,75750.0,4.2,1.8,26.0,21.0,6.0,4.7,,,,,,,5.0,88.0,7.0,100.0,100.0,98.0,98.0,99.0,99.0,,,,,0.0,87.0
"Macao SAR, China",90.0,91.0,93.0,95.0,100.0,100.0,98.0,94.0,1.0,0.0,0.0,0.6,0.0,20204.0,38.8,64580.0,59.2,98450.0,-2.1,-3.9,,,72.0,8.0,,,,,,,,,,,,,,,,,,,,86.0,87.0
"Macedonia, FYR",90.0,89.0,85.0,84.0,99.0,98.0,99.0,97.0,45.0,19.0,7.0,2.1,25.7,83.0,10.4,4980.0,30.1,14480.0,2.4,2.3,,,13.0,10.3,,,,,,,1.0,95.0,3.0,99.0,99.0,,91.0,89.0,91.0,,67.0,,,87.0,100.0
Madagascar,67.0,71.0,38.0,38.0,66.0,64.0,67.0,62.0,,,,24.9,587.3,43.0,9.9,400.0,36.0,1440.0,4.2,1.4,,,236.0,4.0,0.05,0.4,43.0,0.2,0.2,3.0,47.0,43.0,11.0,30.0,52.0,9.0,12.0,58.0,69.0,41.0,49.0,73.4,10.1,83.0,52.0
Malawi,79.0,80.0,22.0,20.0,74.0,70.0,72.0,51.0,,,,18.1,118.5,192.0,5.8,320.0,20.7,1140.0,2.5,-0.4,25.0,6.0,193.0,3.6,0.38,9.1,60.0,1.8,3.2,61.0,61.0,31.0,8.0,43.0,90.0,29.0,41.0,87.0,88.0,74.0,57.0,42.7,37.6,85.0,47.0
Malaysia,101.0,102.0,83.0,91.0,98.0,98.0,95.0,91.0,14.0,2.0,0.0,31.2,330.8,95.0,307.2,9850.0,838.9,26900.0,4.2,2.7,43.0,1.0,89.0,17.9,0.03,0.4,14.0,0.2,0.1,28.0,20.0,71.0,9.0,90.0,98.0,86.0,96.0,93.0,99.0,,,,,78.0,87.0
Maldives,95.0,89.0,96.0,96.0,99.0,99.0,98.0,98.0,,,,0.4,0.3,1392.0,3.1,7430.0,5.0,11970.0,4.1,2.0,,,53.0,9.2,,,,,,,11.0,78.0,11.0,93.0,99.0,68.0,98.0,99.0,99.0,74.0,63.0,,,37.0,80.0
Mali,53.0,48.0,34.0,27.0,56.0,39.0,43.0,25.0,,,,18.0,1240.2,15.0,13.6,750.0,36.8,2040.0,5.3,2.3,37.0,3.0,57.0,2.2,0.11,1.3,59.0,0.4,0.6,28.0,60.0,31.0,10.0,27.0,77.0,14.0,25.0,76.0,68.0,31.0,34.0,71.2,28.7,73.0,60.0
Malta,99.0,100.0,95.0,95.0,98.0,99.0,92.0,95.0,15.0,7.0,4.0,0.4,0.3,1365.0,10.5,24140.0,15.6,35720.0,5.0,3.8,30.0,20.0,9.0,9.9,,,,,,,7.0,90.0,4.0,100.0,100.0,100.0,100.0,89.0,97.0,,,,,76.0,87.0
Marshall Islands,,,,,98.0,99.0,98.0,98.0,,,,0.1,0.2,295.0,0.2,4450.0,0.3,5280.0,2.9,2.8,,,344.0,21.3,,,,,,,,,,92.0,95.0,65.0,77.0,75.0,85.0,,,,,86.0,76.0
Mauritania,66.0,70.0,32.0,31.0,66.0,48.0,57.0,35.0,,,,4.3,1030.7,4.0,4.8,1120.0,16.2,3760.0,2.0,-0.8,44.0,4.0,107.0,2.3,0.03,0.6,53.0,0.2,0.3,18.0,53.0,37.0,10.0,29.0,58.0,16.0,40.0,70.0,73.0,43.0,34.0,18.4,19.7,70.0,54.0
Mauritius,99.0,103.0,78.0,90.0,98.0,99.0,95.0,90.0,,,,1.3,2.0,622.0,12.3,9760.0,26.5,20980.0,3.7,3.6,40.0,3.0,22.0,22.3,0.04,0.9,25.0,0.1,0.2,31.0,8.0,87.0,5.0,99.0,100.0,91.0,93.0,99.0,97.0,,,,,90.0,46.0
Mexico,104.0,105.0,79.0,82.0,99.0,99.0,96.0,94.0,26.0,2.0,1.0,127.5,1964.4,66.0,1152.8,9040.0,2262.9,17740.0,2.3,1.0,21.0,7.0,21.0,15.8,0.02,0.2,21.0,0.1,0.1,59.0,10.0,79.0,11.0,82.0,96.0,66.0,85.0,97.0,87.0,,,,,80.0,81.0
"Micronesia, Fed. Sts.",,,,,,,,,,,,0.1,0.7,150.0,0.4,3680.0,0.5,4330.0,1.9,1.4,,,124.0,16.3,,,,,,,19.0,74.0,8.0,91.0,89.0,19.0,57.0,91.0,72.0,,,,,94.0,80.0
Moldova,91.0,91.0,83.0,85.0,100.0,100.0,100.0,99.0,25.0,6.0,2.0,3.6,33.9,124.0,7.5,2120.0,20.1,5670.0,4.1,4.2,46.0,5.0,152.0,7.1,0.06,0.6,32.0,0.2,0.2,21.0,4.0,91.0,5.0,84.0,88.0,72.0,76.0,89.0,87.0,79.0,55.0,,,79.0,58.0
Monaco,,,,,,,,,,,,0.0,0.0,19250.0,,,,,,,,,0.0,5.7,,,,,,,,,,100.0,100.0,100.0,100.0,99.0,99.0,,,,,100.0,
Mongolia,99.0,98.0,,,98.0,99.0,98.0,98.0,,,,3.0,1564.1,2.0,10.7,3550.0,34.2,11290.0,1.0,-0.7,48.0,5.0,428.0,5.4,0.01,0.1,17.0,0.1,0.1,36.0,10.0,78.0,12.0,53.0,64.0,46.0,60.0,98.0,99.0,70.0,83.0,,,86.0,37.0
Montenegro,92.0,93.0,89.0,90.0,99.0,99.0,99.0,98.0,25.0,4.0,3.0,0.6,13.8,46.0,4.3,6970.0,10.6,17090.0,2.5,2.4,,,21.0,10.5,,,,,,,2.0,95.0,4.0,,100.0,,96.0,64.0,89.0,,,,,89.0,62.0
Morocco,104.0,102.0,70.0,66.0,89.0,74.0,76.0,58.0,,,,35.3,446.6,79.0,102.2,2850.0,275.7,7700.0,1.1,-0.3,45.0,1.0,107.0,8.1,0.01,0.1,36.0,0.1,0.1,37.0,15.0,78.0,7.0,73.0,85.0,52.0,77.0,99.0,99.0,70.0,,,,86.0,83.0
Mozambique,51.0,45.0,23.0,22.0,80.0,57.0,67.0,36.0,,,,28.8,799.4,37.0,13.8,480.0,34.3,1190.0,3.8,0.9,31.0,6.0,551.0,2.6,0.71,10.5,60.0,2.3,4.0,53.0,59.0,32.0,9.0,35.0,51.0,10.0,21.0,85.0,80.0,50.0,56.0,35.7,29.9,89.0,38.0
Myanmar,,,47.0,50.0,96.0,96.0,95.0,91.0,,,,52.9,676.6,81.0,62.4,1190.0,265.8,5070.0,6.5,5.5,32.0,6.0,365.0,6.8,0.04,0.8,36.0,0.4,0.4,47.0,24.0,68.0,8.0,59.0,81.0,54.0,80.0,86.0,75.0,69.0,50.0,11.1,,87.0,70.0
Namibia,84.0,89.0,56.0,63.0,93.0,95.0,90.0,89.0,,,,2.5,824.3,3.0,11.5,4620.0,26.2,10550.0,1.2,-1.0,39.0,11.0,489.0,4.2,0.68,13.3,60.0,2.4,3.9,69.0,50.0,40.0,10.0,70.0,91.0,24.0,34.0,85.0,92.0,68.0,52.0,5.6,8.4,87.0,80.0
Nauru,,,,,,,,,,,,0.0,0.0,652.0,0.1,10750.0,0.2,17520.0,10.4,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,101.0,111.0,80.0,89.0,90.0,80.0,72.0,49.0,,,,29.0,147.2,202.0,21.1,730.0,72.9,2520.0,0.6,-0.6,37.0,11.0,156.0,3.7,0.01,0.2,37.0,0.1,0.1,31.0,24.0,65.0,12.0,66.0,92.0,5.0,46.0,85.0,91.0,50.0,46.0,,0.6,92.0,75.0
