year,month,date_index,fraction_date,c02,data_adjusted_season,data_fit,data_adjusted_seasonally_fit,data_filled,data_adjusted_seasonally_filed
1958,1,21200,1958.0411,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958,2,21231,1958.126,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958,3,21259,1958.2027,315.7,314.43,316.19,314.9,315.7,314.43
1958,4,21290,1958.2877,317.45,315.16,317.3,314.98,317.45,315.16
1958,5,21320,1958.3699,317.51,314.71,317.86,315.06,317.51,314.71
1958,6,21351,1958.4548,-99.99,-99.99,317.24,315.14,317.24,315.14
1958,7,21381,1958.537,315.86,315.19,315.86,315.22,315.86,315.19
1958,8,21412,1958.6219,314.93,316.19,313.99,315.29,314.93,316.19
1958,9,21443,1958.7068,313.21,316.09,312.45,315.35,313.21,316.09
1958,10,21473,1958.789,-99.99,-99.99,312.43,315.41,312.43,315.41
1958,11,21504,1958.874,313.33,315.2,313.61,315.46,313.33,315.2
1958,12,21534,1958.9562,314.67,315.43,314.76,315.51,314.67,315.43
1959,1,21565,1959.0411,315.58,315.54,315.62,315.57,315.58,315.54
1959,2,21596,1959.126,316.49,315.85,316.27,315.63,316.49,315.85
1959,3,21624,1959.2027,316.65,315.37,316.98,315.69,316.65,315.37
1959,4,21655,1959.2877,317.72,315.41,318.09,315.77,317.72,315.41
1959,5,21685,1959.3699,318.29,315.48,318.66,315.85,318.29,315.48
1959,6,21716,1959.4548,318.15,316.02,318.05,315.94,318.15,316.02
1959,7,21746,1959.537,316.54,315.87,316.67,316.03,316.54,315.87
1959,8,21777,1959.6219,314.8,316.07,314.82,316.12,314.8,316.07
1959,9,21808,1959.7068,313.84,316.73,313.31,316.22,313.84,316.73
1959,10,21838,1959.789,313.33,316.33,313.32,316.31,313.33,316.33
1959,11,21869,1959.874,314.81,316.69,314.53,316.39,314.81,316.69
1959,12,21899,1959.9562,315.58,316.35,315.72,316.47,315.58,316.35
1960,1,21930,1960.041,316.43,316.39,316.61,316.56,316.43,316.39
1960,2,21961,1960.1257,316.98,316.35,317.28,316.64,316.98,316.35
1960,3,21990,1960.2049,317.58,316.27,318.03,316.71,317.58,316.27
1960,4,22021,1960.2896,319.03,316.7,319.15,316.79,319.03,316.7
1960,5,22051,1960.3716,320.04,317.21,319.68,316.86,320.04,317.21
1960,6,22082,1960.4563,319.58,317.47,319.02,316.93,319.58,317.47
1960,7,22112,1960.5383,318.18,317.53,317.6,316.98,318.18,317.53
1960,8,22143,1960.623,315.9,317.2,315.68,317.01,315.9,317.2
1960,9,22174,1960.7077,314.17,317.08,314.12,317.05,314.17,317.08
1960,10,22204,1960.7896,313.83,316.84,314.08,317.07,313.83,316.84
1960,11,22235,1960.8743,315,316.88,315.25,317.11,315,316.88
1960,12,22265,1960.9563,316.19,316.96,316.39,317.15,316.19,316.96
1961,1,22296,1961.0411,316.89,316.85,317.25,317.2,316.89,316.85
1961,2,22327,1961.126,317.7,317.07,317.91,317.26,317.7,317.07
1961,3,22355,1961.2027,318.54,317.25,318.63,317.33,318.54,317.25
1961,4,22386,1961.2877,319.48,317.15,319.75,317.41,319.48,317.15
1961,5,22416,1961.3699,320.58,317.75,320.33,317.5,320.58,317.75
1961,6,22447,1961.4548,319.77,317.63,319.71,317.59,319.77,317.63
1961,7,22477,1961.537,318.56,317.89,318.33,317.68,318.56,317.89
1961,8,22508,1961.6219,316.79,318.07,316.45,317.76,316.79,318.07
1961,9,22539,1961.7068,314.99,317.9,314.92,317.85,314.99,317.9
1961,10,22569,1961.789,315.31,318.33,314.91,317.92,315.31,318.33
1961,11,22600,1961.874,316.1,318,316.12,317.99,316.1,318
1961,12,22630,1961.9562,317.01,317.78,317.3,318.06,317.01,317.78
1962,1,22661,1962.0411,317.94,317.9,318.18,318.13,317.94,317.9
1962,2,22692,1962.126,318.55,317.91,318.84,318.19,318.55,317.91
1962,3,22720,1962.2027,319.68,318.39,319.56,318.26,319.68,318.39
1962,4,22751,1962.2877,320.57,318.24,320.67,318.32,320.57,318.24
1962,5,22781,1962.3699,321.02,318.17,321.23,318.39,321.02,318.17
1962,6,22812,1962.4548,320.62,318.47,320.58,318.45,320.62,318.47
1962,7,22842,1962.537,319.61,318.93,319.16,318.5,319.61,318.93
1962,8,22873,1962.6219,317.4,318.69,317.24,318.56,317.4,318.69
1962,9,22904,1962.7068,316.25,319.17,315.66,318.6,316.25,319.17
1962,10,22934,1962.789,315.42,318.45,315.62,318.64,315.42,318.45
1962,11,22965,1962.874,316.69,318.59,316.8,318.68,316.69,318.59
1962,12,22995,1962.9562,317.7,318.47,317.96,318.72,317.7,318.47
1963,1,23026,1963.0411,318.74,318.7,318.82,318.76,318.74,318.7
1963,2,23057,1963.126,319.07,318.43,319.46,318.81,319.07,318.43
1963,3,23085,1963.2027,319.86,318.56,320.16,318.85,319.86,318.56
1963,4,23116,1963.2877,321.38,319.05,321.26,318.91,321.38,319.05
1963,5,23146,1963.3699,322.25,319.39,321.81,318.96,322.25,319.39
1963,6,23177,1963.4548,321.48,319.32,321.15,319.01,321.48,319.32
1963,7,23207,1963.537,319.74,319.06,319.71,319.06,319.74,319.06
1963,8,23238,1963.6219,317.77,319.06,317.78,319.1,317.77,319.06
1963,9,23269,1963.7068,316.21,319.14,316.19,319.14,316.21,319.14
1963,10,23299,1963.789,315.99,319.02,316.16,319.18,315.99,319.02
1963,11,23330,1963.874,317.07,318.97,317.34,319.23,317.07,318.97
1963,12,23360,1963.9562,318.35,319.13,318.51,319.27,318.35,319.13
1964,1,23391,1964.041,319.57,319.53,319.37,319.32,319.57,319.53
1964,2,23422,1964.1257,-99.99,-99.99,320.02,319.37,320.02,319.37
1964,3,23451,1964.2049,-99.99,-99.99,320.75,319.41,320.75,319.41
1964,4,23482,1964.2896,-99.99,-99.99,321.84,319.45,321.84,319.45
1964,5,23512,1964.3716,322.25,319.39,322.35,319.49,322.25,319.39
1964,6,23543,1964.4563,321.89,319.75,321.65,319.53,321.89,319.75
1964,7,23573,1964.5383,320.44,319.78,320.19,319.56,320.44,319.78
1964,8,23604,1964.623,318.69,320.01,318.23,319.58,318.69,320.01
1964,9,23635,1964.7077,316.71,319.66,316.63,319.6,316.71,319.66
1964,10,23665,1964.7896,316.87,319.92,316.59,319.62,316.87,319.92
1964,11,23696,1964.8743,317.68,319.59,317.75,319.64,317.68,319.59
1964,12,23726,1964.9563,318.71,319.49,318.89,319.66,318.71,319.49
1965,1,23757,1965.0411,319.44,319.4,319.74,319.68,319.44,319.4
1965,2,23788,1965.126,320.44,319.8,320.38,319.72,320.44,319.8
1965,3,23816,1965.2027,320.89,319.59,321.09,319.77,320.89,319.59
1965,4,23847,1965.2877,322.14,319.78,322.2,319.83,322.14,319.78
1965,5,23877,1965.3699,322.17,319.3,322.78,319.91,322.17,319.3
1965,6,23908,1965.4548,321.87,319.7,322.15,320,321.87,319.7
1965,7,23938,1965.537,321.21,320.52,320.76,320.1,321.21,320.52
1965,8,23969,1965.6219,318.87,320.16,318.88,320.21,318.87,320.16
1965,9,24000,1965.7068,317.82,320.77,317.35,320.32,317.82,320.77
1965,10,24030,1965.789,317.3,320.36,317.38,320.43,317.3,320.36
1965,11,24061,1965.874,318.87,320.78,318.65,320.55,318.87,320.78
1965,12,24091,1965.9562,319.42,320.2,319.9,320.66,319.42,320.2
1966,1,24122,1966.0411,320.62,320.58,320.84,320.78,320.62,320.58
1966,2,24153,1966.126,321.6,320.95,321.56,320.9,321.6,320.95
1966,3,24181,1966.2027,322.39,321.08,322.33,321.01,322.39,321.08
1966,4,24212,1966.2877,323.7,321.34,323.5,321.12,323.7,321.34
1966,5,24242,1966.3699,324.08,321.2,324.1,321.22,324.08,321.2
1966,6,24273,1966.4548,323.75,321.57,323.48,321.32,323.75,321.57
1966,7,24303,1966.537,322.38,321.69,322.06,321.4,322.38,321.69
1966,8,24334,1966.6219,320.36,321.66,320.15,321.48,320.36,321.66
1966,9,24365,1966.7068,318.64,321.6,318.57,321.55,318.64,321.6
1966,10,24395,1966.789,318.1,321.18,318.56,321.62,318.1,321.18
1966,11,24426,1966.874,319.78,321.71,319.78,321.68,319.78,321.71
1966,12,24456,1966.9562,321.03,321.81,320.97,321.74,321.03,321.81
1967,1,24487,1967.0411,322.33,322.29,321.86,321.8,322.33,322.29
1967,2,24518,1967.126,322.5,321.85,322.52,321.86,322.5,321.85
1967,3,24546,1967.2027,323.03,321.72,323.23,321.9,323.03,321.72
1967,4,24577,1967.2877,324.42,322.05,324.35,321.96,324.42,322.05
1967,5,24607,1967.3699,325,322.11,324.9,322.01,325,322.11
1967,6,24638,1967.4548,324.09,321.9,324.24,322.07,324.09,321.9
1967,7,24668,1967.537,322.54,321.85,322.8,322.14,322.54,321.85
1967,8,24699,1967.6219,320.92,322.22,320.86,322.2,320.92,322.22
1967,9,24730,1967.7068,319.25,322.23,319.28,322.27,319.25,322.23
1967,10,24760,1967.789,319.39,322.47,319.28,322.35,319.39,322.47
1967,11,24791,1967.874,320.73,322.66,320.51,322.42,320.73,322.66
1967,12,24821,1967.9562,321.96,322.75,321.72,322.49,321.96,322.75
1968,1,24852,1968.041,322.57,322.52,322.63,322.57,322.57,322.52
1968,2,24883,1968.1257,323.15,322.5,323.31,322.65,323.15,322.5
1968,3,24912,1968.2049,323.89,322.55,324.09,322.73,323.89,322.55
1968,4,24943,1968.2896,325.02,322.62,325.24,322.83,325.02,322.62
1968,5,24973,1968.3716,325.57,322.67,325.82,322.92,325.57,322.67
1968,6,25004,1968.4563,325.36,323.18,325.18,323.03,325.36,323.18
1968,7,25034,1968.5383,324.14,323.47,323.78,323.14,324.14,323.47
1968,8,25065,1968.623,322.11,323.44,321.88,323.25,322.11,323.44
1968,9,25096,1968.7077,320.33,323.32,320.36,323.37,320.33,323.32
1968,10,25126,1968.7896,320.25,323.33,320.41,323.49,320.25,323.33
1968,11,25157,1968.8743,321.32,323.26,321.7,323.62,321.32,323.26
1968,12,25187,1968.9563,322.89,323.69,322.97,323.75,322.89,323.69
1969,1,25218,1969.0411,324,323.96,323.94,323.89,324,323.96
1969,2,25249,1969.126,324.42,323.76,324.69,324.03,324.42,323.76
1969,3,25277,1969.2027,325.63,324.31,325.5,324.16,325.63,324.31
1969,4,25308,1969.2877,326.66,324.28,326.71,324.3,326.66,324.28
1969,5,25338,1969.3699,327.38,324.47,327.35,324.44,327.38,324.47
1969,6,25369,1969.4548,326.71,324.51,326.75,324.57,326.71,324.51
1969,7,25399,1969.537,325.88,325.19,325.36,324.69,325.88,325.19
1969,8,25430,1969.6219,323.66,324.98,323.45,324.8,323.66,324.98
1969,9,25461,1969.7068,322.38,325.37,321.89,324.9,322.38,325.37
1969,10,25491,1969.789,321.78,324.88,321.9,324.99,321.78,324.88
1969,11,25522,1969.874,322.85,324.8,323.16,325.08,322.85,324.8
1969,12,25552,1969.9562,324.12,324.91,324.38,325.16,324.12,324.91
1970,1,25583,1970.0411,325.06,325.02,325.3,325.24,325.06,325.02
1970,2,25614,1970.126,325.98,325.33,325.99,325.32,325.98,325.33
1970,3,25642,1970.2027,326.93,325.6,326.74,325.4,326.93,325.6
1970,4,25673,1970.2877,328.13,325.74,327.89,325.48,328.13,325.74
1970,5,25703,1970.3699,328.08,325.16,328.47,325.55,328.08,325.16
1970,6,25734,1970.4548,327.67,325.46,327.82,325.63,327.67,325.46
1970,7,25764,1970.537,326.34,325.64,326.37,325.7,326.34,325.64
1970,8,25795,1970.6219,324.69,326,324.42,325.77,324.69,326
1970,9,25826,1970.7068,323.1,326.1,322.81,325.83,323.1,326.1
1970,10,25856,1970.789,323.06,326.18,322.78,325.89,323.06,326.18
1970,11,25887,1970.874,324.01,325.96,324,325.93,324.01,325.96
1970,12,25917,1970.9562,325.13,325.93,325.19,325.97,325.13,325.93
1971,1,25948,1971.0411,326.17,326.13,326.06,326.01,326.17,326.13
1971,2,25979,1971.126,326.68,326.02,326.72,326.05,326.68,326.02
1971,3,26007,1971.2027,327.18,325.85,327.43,326.09,327.18,325.85
1971,4,26038,1971.2877,327.79,325.38,328.55,326.14,327.79,325.38
1971,5,26068,1971.3699,328.93,326,329.12,326.19,328.93,326
1971,6,26099,1971.4548,328.57,326.36,328.46,326.26,328.57,326.36
1971,7,26129,1971.537,327.36,326.66,327,326.33,327.36,326.66
1971,8,26160,1971.6219,325.43,326.75,325.05,326.4,325.43,326.75
1971,9,26191,1971.7068,323.36,326.37,323.44,326.47,323.36,326.37
1971,10,26221,1971.789,323.56,326.69,323.43,326.54,323.56,326.69
1971,11,26252,1971.874,324.8,326.75,324.69,326.62,324.8,326.75
1971,12,26282,1971.9562,326.01,326.81,325.91,326.7,326.01,326.81
1972,1,26313,1972.041,326.77,326.73,326.84,326.78,326.77,326.73
1972,2,26344,1972.1257,327.63,326.97,327.55,326.88,327.63,326.97
1972,3,26373,1972.2049,327.75,326.39,328.35,326.98,327.75,326.39
1972,4,26404,1972.2896,329.72,327.29,329.55,327.1,329.72,327.29
1972,5,26434,1972.3716,330.07,327.13,330.16,327.23,330.07,327.13
1972,6,26465,1972.4563,329.09,326.88,329.56,327.38,329.09,326.88
1972,7,26495,1972.5383,328.04,327.37,328.18,327.54,328.04,327.37
1972,8,26526,1972.623,326.32,327.67,326.33,327.72,326.32,327.67
1972,9,26557,1972.7077,324.84,327.87,324.86,327.91,324.84,327.87
1972,10,26587,1972.7896,325.2,328.33,324.99,328.1,325.2,328.33
1972,11,26618,1972.8743,326.5,328.46,326.37,328.31,326.5,328.46
1972,12,26648,1972.9563,327.55,328.36,327.72,328.51,327.55,328.36
1973,1,26679,1973.0411,328.55,328.5,328.77,328.72,328.55,328.5
1973,2,26710,1973.126,329.56,328.9,329.6,328.93,329.56,328.9
1973,3,26738,1973.2027,330.3,328.96,330.46,329.11,330.3,328.96
1973,4,26769,1973.2877,331.5,329.09,331.74,329.3,331.5,329.09
1973,5,26799,1973.3699,332.48,329.53,332.43,329.48,332.48,329.53
1973,6,26830,1973.4548,332.07,329.84,331.85,329.64,332.07,329.84
1973,7,26860,1973.537,330.87,330.17,330.45,329.77,330.87,330.17
1973,8,26891,1973.6219,329.31,330.64,328.52,329.88,329.31,330.64
1973,9,26922,1973.7068,327.52,330.55,326.91,329.96,327.52,330.55
1973,10,26952,1973.789,327.19,330.33,326.88,330.02,327.19,330.33
1973,11,26983,1973.874,328.17,330.13,328.1,330.05,328.17,330.13
1973,12,27013,1973.9562,328.65,329.45,329.28,330.07,328.65,329.45
1974,1,27044,1974.0411,329.36,329.31,330.15,330.1,329.36,329.31
1974,2,27075,1974.126,330.71,330.05,330.8,330.12,330.71,330.05
1974,3,27103,1974.2027,331.49,330.14,331.51,330.15,331.49,330.14
1974,4,27134,1974.2877,332.65,330.23,332.63,330.19,332.65,330.23
1974,5,27164,1974.3699,333.1,330.14,333.18,330.22,333.1,330.14
1974,6,27195,1974.4548,332.26,330.02,332.49,330.27,332.26,330.02
1974,7,27225,1974.537,331.18,330.48,331,330.32,331.18,330.48
1974,8,27256,1974.6219,329.4,330.74,329,330.37,329.4,330.74
1974,9,27287,1974.7068,327.44,330.49,327.36,330.42,327.44,330.49
1974,10,27317,1974.789,327.38,330.54,327.33,330.47,327.38,330.54
1974,11,27348,1974.874,328.46,330.44,328.57,330.53,328.46,330.44
1974,12,27378,1974.9562,329.58,330.39,329.8,330.59,329.58,330.39
1975,1,27409,1975.0411,330.41,330.36,330.72,330.66,330.41,330.36
1975,2,27440,1975.126,331.41,330.74,331.42,330.74,331.41,330.74
1975,3,27468,1975.2027,332.05,330.7,332.19,330.83,332.05,330.7
1975,4,27499,1975.2877,333.32,330.88,333.37,330.92,333.32,330.88
1975,5,27529,1975.3699,333.98,331.01,333.98,331.01,333.98,331.01
1975,6,27560,1975.4548,333.61,331.37,333.34,331.11,333.61,331.37
1975,7,27590,1975.537,331.91,331.2,331.89,331.21,331.91,331.2
1975,8,27621,1975.6219,330.06,331.41,329.93,331.3,330.06,331.41
1975,9,27652,1975.7068,328.57,331.62,328.33,331.4,328.57,331.62
1975,10,27682,1975.789,328.35,331.51,328.33,331.48,328.35,331.51
1975,11,27713,1975.874,329.5,331.48,329.61,331.57,329.5,331.48
1975,12,27743,1975.9562,330.77,331.58,330.85,331.65,330.77,331.58
1976,1,27774,1976.041,331.76,331.71,331.78,331.73,331.76,331.71
1976,2,27805,1976.1257,332.58,331.91,332.49,331.81,332.58,331.91
1976,3,27834,1976.2049,333.5,332.13,333.27,331.88,333.5,332.13
1976,4,27865,1976.2896,334.59,332.13,334.44,331.96,334.59,332.13
1976,5,27895,1976.3716,334.89,331.91,335.01,332.04,334.89,331.91
1976,6,27926,1976.4563,334.34,332.11,334.33,332.12,334.34,332.11
1976,7,27956,1976.5383,333.06,332.38,332.86,332.2,333.06,332.38
1976,8,27987,1976.623,330.95,332.32,330.89,332.3,330.95,332.32
1976,9,28018,1976.7077,329.31,332.39,329.31,332.4,329.31,332.39
1976,10,28048,1976.7896,328.95,332.12,329.35,332.51,328.95,332.12
1976,11,28079,1976.8743,330.32,332.3,330.68,332.64,330.32,332.3
1976,12,28109,1976.9563,331.69,332.51,331.99,332.78,331.69,332.51
1977,1,28140,1977.0411,332.94,332.89,333,332.94,332.94,332.89
1977,2,28171,1977.126,333.43,332.76,333.8,333.12,333.43,332.76
1977,3,28199,1977.2027,334.71,333.35,334.65,333.28,334.71,333.35
1977,4,28230,1977.2877,336.08,333.63,335.93,333.47,336.08,333.63
1977,5,28260,1977.3699,336.76,333.77,336.63,333.65,336.76,333.77
1977,6,28291,1977.4548,336.28,334.02,336.07,333.83,336.28,334.02
1977,7,28321,1977.537,334.93,334.21,334.68,334,334.93,334.21
1977,8,28352,1977.6219,332.76,334.11,332.78,334.16,332.76,334.11
1977,9,28383,1977.7068,331.6,334.68,331.23,334.32,331.6,334.68
1977,10,28413,1977.789,331.17,334.36,331.29,334.47,331.17,334.36
1977,11,28444,1977.874,332.41,334.41,332.64,334.61,332.41,334.41
1977,12,28474,1977.9562,333.86,334.67,333.95,334.75,333.86,334.67
1978,1,28505,1978.0411,334.98,334.93,334.94,334.89,334.98,334.93
1978,2,28536,1978.126,335.4,334.72,335.7,335.02,335.4,334.72
1978,3,28564,1978.2027,336.65,335.29,336.52,335.14,336.65,335.29
1978,4,28595,1978.2877,337.77,335.31,337.74,335.26,337.77,335.31
1978,5,28625,1978.3699,338.02,335.02,338.38,335.38,338.02,335.02
1978,6,28656,1978.4548,337.91,335.64,337.75,335.5,337.91,335.64
1978,7,28686,1978.537,336.55,335.83,336.29,335.61,336.55,335.83
1978,8,28717,1978.6219,334.69,336.05,334.32,335.71,334.69,336.05
1978,9,28748,1978.7068,332.77,335.85,332.71,335.81,332.77,335.85
1978,10,28778,1978.789,332.56,335.75,332.72,335.9,332.56,335.75
1978,11,28809,1978.874,333.93,335.93,334.02,336,333.93,335.93
1978,12,28839,1978.9562,334.96,335.78,335.29,336.09,334.96,335.78
1979,1,28870,1979.0411,336.24,336.19,336.26,336.2,336.24,336.19
1979,2,28901,1979.126,336.77,336.09,337,336.32,336.77,336.09
