Abilene Chr,Southland
Air Force,Mountain West
Akron,MAC
Alabama,SEC
Alabama A&M,SWAC
Alabama St,SWAC
UAB,C-USA
SUNY Albany,America East
Alcorn St,SWAC
American Univ,Patriot
Appalachian St,Sun Belt
Arizona,Pac-12
Arizona St,Pac-12
Arkansas,SEC
Arkansas St,Sun Belt
Ark Pine Bluff,SWAC
Army,Patriot
Auburn,SEC
Austin Peay,Ohio Valley
Ball St,MAC
Baylor,Big 12
Belmont,Ohio Valley
Bethune-Cookman,MEAC
Binghamton,America East
Boise St,Mountain West
Boston College,ACC
Boston Univ,Patriot
Bowling Green,MAC
Bradley,Missouri Valley
BYU,West Coast
Brown,Ivy
Bryant,Northeast
Bucknell,Patriot
Buffalo,MAC
Butler,Big East
Cal Poly,Big West
CS Bakersfield,WAC
CS Fullerton,Big West
Long Beach St,Big West
CS Northridge,Big West
Cal Baptist,WAC
Campbell,Big South
Canisius,MAAC
Cent Arkansas,Southland
Central Conn,Northeast
UCF,The American
C Michigan,MAC
Charleston So,Big South
Charlotte,C-USA
Chattanooga,Southern
Chicago St,WAC
Cincinnati,The American
Citadel,Southern
Clemson,ACC
Cleveland St,Horizon
Coastal Car,Sun Belt
Colgate,Patriot
Col Charleston,CAA
Colorado,Pac-12
Colorado St,Mountain West
Columbia,Ivy
Connecticut,The American
Coppin St,MEAC
Cornell,Ivy
Creighton,Big East
Dartmouth,Ivy
Davidson,Atlantic 10
Dayton,Atlantic 10
Delaware,CAA
Delaware St,MEAC
Denver,Summit
DePaul,Big East
Detroit,Horizon
Drake,Missouri Valley
Drexel,CAA
Duke,ACC
Duquesne,Atlantic 10
East Carolina,The American
ETSU,Southern
E Illinois,Ohio Valley
E Kentucky,Ohio Valley
E Michigan,MAC
E Washington,Big Sky
Elon,CAA
Evansville,Missouri Valley
Fairfield,MAAC
F Dickinson,Northeast
Florida,SEC
Florida A&M,MEAC
FL Atlantic,C-USA
FL Gulf Coast,ASUN
Florida Intl,C-USA
Florida St,ACC
Fordham,Atlantic 10
Fresno St,Mountain West
Furman,Southern
Gardner Webb,Big South
George Mason,Atlantic 10
G Washington,Atlantic 10
Georgetown,Big East
Georgia,SEC
Ga Southern,Sun Belt
Georgia St,Sun Belt
Georgia Tech,ACC
Gonzaga,West Coast
Grambling,SWAC
Grand Canyon,WAC
WI Green Bay,Horizon
Hampton,Big South
Hartford,America East
Harvard,Ivy
Hawaii,Big West
High Point,Big South
Hofstra,CAA
Holy Cross,Patriot
Houston,The American
Houston Bap,Southland
Howard,MEAC
Idaho,Big Sky
Idaho St,Big Sky
Illinois,Big Ten
Illinois St,Missouri Valley
IL Chicago,Horizon
Incarnate Word,Southland
Indiana,Big Ten
Indiana St,Missouri Valley
Iona,MAAC
Iowa,Big Ten
Iowa St,Big 12
IUPUI,Horizon
Jackson St,SWAC
Jacksonville,ASUN
Jacksonville St,Ohio Valley
James Madison,CAA
Kansas,Big 12
Kansas St,Big 12
Kennesaw,ASUN
Kent,MAC
Kentucky,SEC
La Salle,Atlantic 10
Lafayette,Patriot
Lamar,Southland
Lehigh,Patriot
Liberty,ASUN
Lipscomb,ASUN
Ark Little Rock,Sun Belt
LIU Brooklyn,Northeast
Longwood,Big South
Louisiana,Sun Belt
LSU,SEC
Louisiana Tech,C-USA
ULM,Sun Belt
Louisville,ACC
Loyola-Chicago,Missouri Valley
Loyola MD,Patriot
Loy Marymount,West Coast
Maine,America East
Manhattan,MAAC
Marist,MAAC
Marquette,Big East
Marshall,C-USA
Maryland,Big Ten
UMBC,America East
MD E Shore,MEAC
Massachusetts,Atlantic 10
MA Lowell,America East
McNeese St,Southland
Memphis,The American
Mercer,Southern
Miami FL,ACC
Miami OH,MAC
Michigan,Big Ten
Michigan St,Big Ten
MTSU,C-USA
WI Milwaukee,Horizon
Minnesota,Big Ten
Mississippi,SEC
Mississippi St,SEC
MS Valley St,SWAC
Missouri,SEC
Missouri St,Missouri Valley
Missouri KC,WAC
Monmouth NJ,MAAC
Montana,Big Sky
Montana St,Big Sky
Morehead St,Ohio Valley
Morgan St,MEAC
Mt St Mary's,Northeast
Murray St,Ohio Valley
Navy,Patriot
Nebraska,Big Ten
Nevada,Mountain West
UNLV,Mountain West
New Hampshire,America East
New Mexico,Mountain West
New Mexico St,WAC
New Orleans,Southland
Niagara,MAAC
Nicholls St,Southland
NJIT,ASUN
Norfolk St,MEAC
North Alabama,ASUN
North Carolina,ACC
NC A&T,MEAC
NC Central,MEAC
NC State,ACC
UNC Asheville,Big South
UNC Greensboro,Southern
UNC Wilmington,CAA
North Dakota,Summit
N Dakota St,Summit
North Florida,ASUN
North Texas,C-USA
Northeastern,CAA
Northern Arizona,Big Sky
N Colorado,Big Sky
N Illinois,MAC
Northern Iowa,Missouri Valley
N Kentucky,Horizon
Northwestern,Big Ten
Northwestern LA,Southland
Notre Dame,ACC
Oakland,Horizon
Ohio,MAC
Ohio St,Big Ten
Oklahoma,Big 12
Oklahoma St,Big 12
Old Dominion,C-USA
NE Omaha,Summit
Oral Roberts,Summit
Oregon,Pac-12
Oregon St,Pac-12
Pacific,West Coast
Penn St,Big Ten
Penn,Ivy
Pepperdine,West Coast
Pittsburgh,ACC
Portland,West Coast
Portland St,Big Sky
Prairie View,SWAC
Presbyterian,Big South
Princeton,Ivy
Providence,Big East
Purdue,Big Ten
PFW,Summit
Quinnipiac,MAAC
Radford,Big South
Rhode Island,Atlantic 10
Rice,C-USA
Richmond,Atlantic 10
Rider,MAAC
Robert Morris,Northeast
Rutgers,Big Ten
CS Sacramento,Big Sky
Sacred Heart,Northeast
St Francis PA,Northeast
St Joseph's PA,Atlantic 10
St Louis,Atlantic 10
St Mary's CA,West Coast
St Peter's,MAAC
Sam Houston St,Southland
Samford,Southern
San Diego,West Coast
San Diego St,Mountain West
San Francisco,West Coast
San Jose St,Mountain West
Santa Clara,West Coast
Seattle,WAC
Seton Hall,Big East
Siena,MAAC
SIUE,Ohio Valley
South Alabama,Sun Belt
South Carolina,SEC
S Carolina St,MEAC
SC Upstate,Big South
South Dakota,Summit
S Dakota St,Summit
South Florida,The American
SE Missouri St,Ohio Valley
SE Louisiana,Southland
Southern Univ,SWAC
USC,Pac-12
S Illinois,Missouri Valley
SMU,The American
Southern Miss,C-USA
Southern Utah,Big Sky
St Bonaventure,Atlantic 10
St Francis NY,Northeast
St John's,Big East
Stanford,Pac-12
SF Austin,Southland
Stetson,ASUN
Stony Brook,America East
Syracuse,ACC
Temple,The American
Tennessee,SEC
Tennessee St,Ohio Valley
Tennessee Tech,Ohio Valley
TN Martin,Ohio Valley
Texas,Big 12
Texas A&M,SEC
TAM C. Christi,Southland
TCU,Big 12
TX Southern,SWAC
Texas St,Sun Belt
Texas Tech,Big 12
UT Arlington,Sun Belt
UTEP,C-USA
UTRGV,WAC
UT San Antonio,C-USA
Toledo,MAC
Towson,CAA
Troy,Sun Belt
Tulane,The American
Tulsa,The American
UC Davis,Big West
UC Irvine,Big West
UC Riverside,Big West
UC Santa Barbara,Big West
UCLA,Pac-12
California,Pac-12
Utah,Pac-12
Utah St,Mountain West
Utah Valley,WAC
Valparaiso,Missouri Valley
Vanderbilt,SEC
Vermont,America East
Villanova,Big East
Virginia,ACC
VCU,Atlantic 10
Virginia Tech,ACC
VMI,Southern
Wagner,Northeast
Wake Forest,ACC
Washington,Pac-12
Washington St,Pac-12
Weber St,Big Sky
West Virginia,Big 12
W Carolina,Southern
W Illinois,Summit
WKU,C-USA
W Michigan,MAC
Wichita St,The American
William & Mary,CAA
Winthrop,Big South
Wisconsin,Big Ten
Wofford,Southern
Wright St,Horizon
Wyoming,Mountain West
Xavier,Big East
Yale,Ivy
Youngstown St,Horizon
Savannah St,MEAC